,STMD_R,STMD_L,LPTC_R,LPTC_L,LPTC_HR
755,0.0,0.0,0.21093249740107464,0.0075214507070950985,0.22341104669397954
756,0.0,0.0,0.22784984731381286,0.008821347250215716,0.23902850006359713
757,0.0,0.0,0.23740235112131602,0.009608050861417018,0.247794300259899
758,0.0,0.0,0.24190515405967802,0.0021326507856238865,0.25977250327405416
759,0.0,0.0,0.2511707839211754,0.0034651183450822996,0.26770566557609315
760,0.0,0.0,0.24312900947341348,0.008019560526199423,0.25510944894721405
761,0.0,0.0,0.21978041818816152,0.011725066254835017,0.2280553519333265
762,0.0,0.0,0.18426561511500275,0.013805086335917203,0.19046052877908554
763,0.0,0.0,0.14322535344521348,0.01282688916027801,0.15039846428493547
764,0.0,0.0,0.11046753924987833,0.00679598751541424,0.12367155173446409
765,0.0,0.0,0.09779966455407486,0.006608950922286362,0.11119071363178851
766,0.0,0.0,0.0785262414452434,0.006246916164093595,0.09227932528114981
767,0.0,0.0,0.0647327680501193,0.005788952570022537,0.07894381548009677
768,0.0,0.0,0.05799382717811727,0.005289124479039648,0.07270470269907763
769,0.0,0.0,0.0601482000724086,0.004782603636242629,0.07536559643616597
