,STMD_R,STMD_L,LPTC_R,LPTC_L,LPTC_HR
947,0.0,0.0,0.12878060541403274,0.00387924203196431,0.1449013633820684
948,0.0,0.0,0.10716515398918489,0.0037807166416552497,0.12338443734752964
949,0.0,0.0,0.08659443184844559,0.003580407945200351,0.10301402390324525
950,0.0,0.0,0.06520590107537501,0.0028131244111947225,0.0823927766641803
951,0.0,0.0,0.058962339780847944,0.005110886050080032,0.07385145373076792
952,0.0,0.0,0.059597753939317814,0.003970939740332852,0.07562681419898495
953,0.0,0.0,0.06551960706427791,0.0043747147218335,0.0811448923424444
954,0.0,0.0,0.07380597148071465,0.0044682279753299825,0.08933774350538466
955,0.0,0.0,0.08923682775446204,0.004360709284788322,0.10487611846967372
956,0.0,0.0,0.10363780691906085,0.004132539287153503,0.11950526763190736
957,0.0,0.0,0.1318057007601254,0.00384086205482506,0.14796483870530033
958,0.0,0.0,0.16772872878891765,0.006662257578065892,0.18106647121085176
959,0.0,0.0,0.20524188116245284,0.008299040650242017,0.2169428405122108
960,0.0,0.0,0.22364854990459912,0.009744253940064765,0.23390429596453435
961,0.0,0.0,0.23667385556510862,0.010809758143341031,0.24586409742176757
962,0.0,0.0,0.24503762444603436,0.011268785914024337,0.25376883853201
963,0.0,0.0,0.24160448795386072,0.00211499860596193,0.2594894893478988
964,0.0,0.0,0.24026159747379383,0.0025912785518788727,0.25767031892191494
965,0.0,0.0,0.21700702547118522,0.007286717835098113,0.2297203076360871
966,0.0,0.0,0.18005243224316453,0.010251536029981717,0.18980089621318277
967,0.0,0.0,0.13991333434807487,0.01103608619981651,0.14887724814825834
968,0.0,0.0,0.10564817979784266,0.0069493753321220085,0.11869880446572066
