Index	Video	Part	Numparts	Pixel2PR	Blur width
86	2018_05_31_11_54_11.mj2	8	39	18	54
87	2018_05_31_11_54_11.mj2	9	39	18	54
88	2018_05_31_11_54_11.mj2	10	39	18	54
89	2018_05_31_11_54_11.mj2	11	39	18	54
90	2018_05_31_11_54_11.mj2	12	39	18	54
91	2018_05_31_11_54_11.mj2	13	39	18	54
92	2018_05_31_11_54_11.mj2	14	39	18	54
93	2018_05_31_11_54_11.mj2	15	39	18	54
94	2018_05_31_11_54_11.mj2	16	39	18	54
95	2018_05_31_11_54_11.mj2	17	39	18	54
96	2018_05_31_11_54_11.mj2	18	39	18	54
97	2018_05_31_11_54_11.mj2	19	39	18	54
98	2018_05_31_11_54_11.mj2	20	39	18	54
99	2018_05_31_11_54_11.mj2	21	39	18	54
100	2018_05_31_11_54_11.mj2	22	39	18	54
101	2018_05_31_11_54_11.mj2	23	39	18	54
102	2018_05_31_11_54_11.mj2	24	39	18	54
103	2018_05_31_11_54_11.mj2	25	39	18	54
104	2018_05_31_11_54_11.mj2	26	39	18	54
105	2018_05_31_11_54_11.mj2	27	39	18	54
106	2018_05_31_11_54_11.mj2	28	39	18	54
107	2018_05_31_11_54_11.mj2	29	39	18	54
108	2018_05_31_11_54_11.mj2	30	39	18	54
109	2018_05_31_11_54_11.mj2	31	39	18	54
110	2018_05_31_11_54_11.mj2	32	39	18	54
111	2018_05_31_11_54_11.mj2	33	39	18	54
112	2018_05_31_11_54_11.mj2	34	39	18	54
113	2018_05_31_11_54_11.mj2	35	39	18	54
114	2018_05_31_11_54_11.mj2	36	39	18	54
115	2018_05_31_11_54_11.mj2	37	39	18	54
116	2018_05_31_11_54_11.mj2	38	39	18	54
117	2018_05_31_11_54_11.mj2	39	39	18	54
118	2018_05_31_11_54_11.mj2	1	39	18	72
119	2018_05_31_11_54_11.mj2	2	39	18	72
120	2018_05_31_11_54_11.mj2	3	39	18	72
121	2018_05_31_11_54_11.mj2	4	39	18	72
122	2018_05_31_11_54_11.mj2	5	39	18	72
123	2018_05_31_11_54_11.mj2	6	39	18	72
124	2018_05_31_11_54_11.mj2	7	39	18	72
125	2018_05_31_11_54_11.mj2	8	39	18	72
126	2018_05_31_11_54_11.mj2	9	39	18	72
127	2018_05_31_11_54_11.mj2	10	39	18	72
128	2018_05_31_11_54_11.mj2	11	39	18	72
